pref,region_code,region_name,indicator,domain,n_total,n_risk,risk_rate,n_male,n_risk_male,risk_rate_male,n_female,n_risk_female,risk_rate_female
富山県,1603,高岡,HbA1c,糖尿病,68589,6258,0.09123911997550628,35699,4191,0.11739824644948038,32890,2067,0.06284584980237154
富山県,1604,砺波,HbA1c,糖尿病,28743,2570,0.08941307448770135,14554,1710,0.1174934725848564,14189,860,0.06061033194728311
山口県,3501,岩国,HbA1c,糖尿病,18568,1368,0.07367514002585093,10095,947,0.09380881624566617,8473,421,0.04968724182697982
山口県,3502,柳井,HbA1c,糖尿病,7935,603,0.07599243856332703,3943,423,0.10727872178544255,3992,180,0.045090180360721446
山口県,3503,周南,HbA1c,糖尿病,33426,2425,0.07254831568240291,17567,1639,0.09329993738259236,15859,786,0.049561763036761464
山口県,3504,山口・防府,HbA1c,糖尿病,37049,2700,0.07287646090312828,21282,1950,0.0916267268113899,15767,750,0.047567704699689226
山口県,3505,宇部・小野田,HbA1c,糖尿病,37057,2862,0.07723237175162587,19448,1932,0.09934183463595228,17609,930,0.05281390198194105
山口県,3506,下関,HbA1c,糖尿病,32143,2451,0.07625299443113587,16524,1703,0.10306221253933673,15619,748,0.047890389909725335
山口県,3507,長門,HbA1c,糖尿病,3958,274,0.06922688226376958,1801,167,0.09272626318711827,2157,107,0.04960593416782568
山口県,3508,萩,HbA1c,糖尿病,5535,497,0.0897922312556459,2587,302,0.11673753382296095,2948,195,0.06614654002713705
山形県,0601,村山,HbA1c,糖尿病,93946,7823,0.08327124092563813,49505,5211,0.10526209473790527,44441,2612,0.05877455502801467
山形県,0602,最上,HbA1c,糖尿病,12721,1247,0.09802688467887745,6479,791,0.12208674178113907,6242,456,0.07305350849086831
山形県,0603,置賜,HbA1c,糖尿病,36734,2917,0.079408722164752,20330,1984,0.09758976881455976,16404,933,0.056876371616678856
山形県,0604,庄内,HbA1c,糖尿病,39227,2942,0.0749993626838657,20762,1983,0.0955110297659185,18465,959,0.051936095315461686
山梨県,1901,中北,HbA1c,糖尿病,102488,7774,0.07585278276481149,52973,5337,0.10074943839314368,49515,2437,0.0492174088660002
山梨県,1902,峡東,HbA1c,糖尿病,28992,2373,0.08185016556291391,14662,1582,0.10789796753512482,14330,791,0.05519888346127006
